INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalIntTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore wind global,1975,capital,1294.249598,0.13,0.550029121
electricity,offshore wind,offshore wind global,1990,capital,1294.249598,0.13,0.550029121
electricity,offshore wind,offshore wind global,2005,capital,1294.249598,0.13,0.550029121
electricity,offshore wind,offshore wind global,2010,capital,1294.249598,0.13,0.550029121
electricity,offshore wind,offshore wind global,2015,capital,1294.249598,0.13,0.550029121
electricity,offshore wind,offshore wind global,2020,capital,1237.887116,0.13,0.550029121
electricity,offshore wind,offshore wind global,2025,capital,1191.962131,0.13,0.550029121
electricity,offshore wind,offshore wind global,2030,capital,1150.212143,0.13,0.550029121
electricity,offshore wind,offshore wind global,2035,capital,1116.812153,0.13,0.550029121
electricity,offshore wind,offshore wind global,2040,capital,1087.587162,0.13,0.550029121
electricity,offshore wind,offshore wind global,2045,capital,1060.449671,0.13,0.550029121
electricity,offshore wind,offshore wind global,2050,capital,1039.574678,0.13,0.550029121
electricity,offshore wind,offshore wind global,2055,capital,1020.787183,0.13,0.550029121
electricity,offshore wind,offshore wind global,2060,capital,1004.087189,0.13,0.550029121
electricity,offshore wind,offshore wind global,2065,capital,989.474693,0.13,0.550029121
electricity,offshore wind,offshore wind global,2070,capital,979.0371963,0.13,0.550029121
electricity,offshore wind,offshore wind global,2075,capital,968.5996994,0.13,0.550029121
electricity,offshore wind,offshore wind global,2080,capital,958.1622027,0.13,0.550029121
electricity,offshore wind,offshore wind global,2085,capital,951.8997048,0.13,0.550029121
electricity,offshore wind,offshore wind global,2090,capital,945.6372067,0.13,0.550029121
electricity,offshore wind,offshore wind global,2095,capital,939.3747085,0.13,0.550029121
electricity,offshore wind,offshore wind global,2100,capital,935.1997099,0.13,0.550029121
