INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalIntTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore wind usa,1975,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,1990,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2005,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2010,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2015,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2020,capital,1223.015619,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2025,capital,1177.642359,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2030,capital,1136.39394,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2035,capital,1103.395205,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2040,capital,1074.521311,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2045,capital,1047.70984,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2050,capital,1027.08563,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2055,capital,1008.523841,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2060,capital,992.024474,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2065,capital,977.5875274,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2070,capital,967.2754227,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2075,capital,956.9633179,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2080,capital,946.6512132,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2085,capital,940.4639504,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2090,capital,934.2766875,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2095,capital,928.0894248,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2100,capital,923.9645829,0.13,0.459157318
