INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalIntTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,intermittent.technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore wind usa,1975,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,1990,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2005,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2010,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2015,capital,1278.700985,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2020,capital,959.0257389,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2025,capital,719.2693041,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2030,capital,539.4519781,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2035,capital,512.4793792,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2040,capital,486.8554102,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2045,capital,462.5126398,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2050,capital,439.3870077,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2055,capital,417.4176574,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2060,capital,396.5467745,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2065,capital,376.7194358,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2070,capital,357.883464,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2075,capital,339.9892908,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2080,capital,322.9898262,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2085,capital,306.8403349,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2090,capital,291.4983182,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2095,capital,276.9234022,0.13,0.459157318
electricity,offshore wind,offshore wind usa,2100,capital,263.0772321,0.13,0.459157318
