INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind global,1975,offshore wind resource,1
electricity,offshore wind,offshore wind global,1990,offshore wind resource,1
electricity,offshore wind,offshore wind global,2005,offshore wind resource,1
electricity,offshore wind,offshore wind global,2010,offshore wind resource,1
electricity,offshore wind,offshore wind global,2015,offshore wind resource,1
electricity,offshore wind,offshore wind global,2020,offshore wind resource,1
electricity,offshore wind,offshore wind global,2025,offshore wind resource,1
electricity,offshore wind,offshore wind global,2030,offshore wind resource,1
electricity,offshore wind,offshore wind global,2035,offshore wind resource,1
electricity,offshore wind,offshore wind global,2040,offshore wind resource,1
electricity,offshore wind,offshore wind global,2045,offshore wind resource,1
electricity,offshore wind,offshore wind global,2050,offshore wind resource,1
electricity,offshore wind,offshore wind global,2055,offshore wind resource,1
electricity,offshore wind,offshore wind global,2060,offshore wind resource,1
electricity,offshore wind,offshore wind global,2065,offshore wind resource,1
electricity,offshore wind,offshore wind global,2070,offshore wind resource,1
electricity,offshore wind,offshore wind global,2075,offshore wind resource,1
electricity,offshore wind,offshore wind global,2080,offshore wind resource,1
electricity,offshore wind,offshore wind global,2085,offshore wind resource,1
electricity,offshore wind,offshore wind global,2090,offshore wind resource,1
electricity,offshore wind,offshore wind global,2095,offshore wind resource,1
electricity,offshore wind,offshore wind global,2100,offshore wind resource,1
