INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind usa,1975,offshore wind resource,1
electricity,offshore wind,offshore wind usa,1990,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2005,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2010,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2015,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2020,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2025,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2030,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2035,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2040,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2045,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2050,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2055,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2060,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2065,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2070,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2075,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2080,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2085,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2090,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2095,offshore wind resource,1
electricity,offshore wind,offshore wind usa,2100,offshore wind resource,1
