INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechLifetime,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,lifetime
electricity,offshore wind,offshore wind global,2010,30
electricity,offshore wind,offshore wind global,2015,30
electricity,offshore wind,offshore wind global,2020,30
electricity,offshore wind,offshore wind global,2025,30
electricity,offshore wind,offshore wind global,2030,30
electricity,offshore wind,offshore wind global,2035,30
electricity,offshore wind,offshore wind global,2040,30
electricity,offshore wind,offshore wind global,2045,30
electricity,offshore wind,offshore wind global,2050,30
electricity,offshore wind,offshore wind global,2055,30
electricity,offshore wind,offshore wind global,2060,30
electricity,offshore wind,offshore wind global,2065,30
electricity,offshore wind,offshore wind global,2070,30
electricity,offshore wind,offshore wind global,2075,30
electricity,offshore wind,offshore wind global,2080,30
electricity,offshore wind,offshore wind global,2085,30
electricity,offshore wind,offshore wind global,2090,30
electricity,offshore wind,offshore wind global,2095,30
electricity,offshore wind,offshore wind global,2100,30
