INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind usa,1975,OM-var,2.28
electricity,offshore wind,offshore wind usa,1990,OM-var,2.28
electricity,offshore wind,offshore wind usa,2005,OM-var,2.28
electricity,offshore wind,offshore wind usa,2010,OM-var,0
electricity,offshore wind,offshore wind usa,2015,OM-var,0
electricity,offshore wind,offshore wind usa,2020,OM-var,0
electricity,offshore wind,offshore wind usa,2025,OM-var,0
electricity,offshore wind,offshore wind usa,2030,OM-var,0
electricity,offshore wind,offshore wind usa,2035,OM-var,0
electricity,offshore wind,offshore wind usa,2040,OM-var,0
electricity,offshore wind,offshore wind usa,2045,OM-var,0
electricity,offshore wind,offshore wind usa,2050,OM-var,0
electricity,offshore wind,offshore wind usa,2055,OM-var,0
electricity,offshore wind,offshore wind usa,2060,OM-var,0
electricity,offshore wind,offshore wind usa,2065,OM-var,0
electricity,offshore wind,offshore wind usa,2070,OM-var,0
electricity,offshore wind,offshore wind usa,2075,OM-var,0
electricity,offshore wind,offshore wind usa,2080,OM-var,0
electricity,offshore wind,offshore wind usa,2085,OM-var,0
electricity,offshore wind,offshore wind usa,2090,OM-var,0
electricity,offshore wind,offshore wind usa,2095,OM-var,0
electricity,offshore wind,offshore wind usa,2100,OM-var,0
