INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechShrwt,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,share.weight
electricity,offshore wind,offshore wind usa,1975,0
electricity,offshore wind,offshore wind usa,1990,0
electricity,offshore wind,offshore wind usa,2005,0
electricity,offshore wind,offshore wind usa,2010,0
electricity,offshore wind,offshore wind usa,2015,1
electricity,offshore wind,offshore wind usa,2020,1
electricity,offshore wind,offshore wind usa,2025,1
electricity,offshore wind,offshore wind usa,2030,1
electricity,offshore wind,offshore wind usa,2035,1
electricity,offshore wind,offshore wind usa,2040,1
electricity,offshore wind,offshore wind usa,2045,1
electricity,offshore wind,offshore wind usa,2050,1
electricity,offshore wind,offshore wind usa,2055,1
electricity,offshore wind,offshore wind usa,2060,1
electricity,offshore wind,offshore wind usa,2065,1
electricity,offshore wind,offshore wind usa,2070,1
electricity,offshore wind,offshore wind usa,2075,1
electricity,offshore wind,offshore wind usa,2080,1
electricity,offshore wind,offshore wind usa,2085,1
electricity,offshore wind,offshore wind usa,2090,1
electricity,offshore wind,offshore wind usa,2095,1
electricity,offshore wind,offshore wind usa,2100,1
