INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_global,1975,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,1990,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2005,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2010,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2015,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2020,capital,2215.380664,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2025,capital,2133.191162,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2030,capital,2058.473433,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2035,capital,1998.69925,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2040,capital,1946.39684,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2045,capital,1897.830316,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2050,capital,1860.471451,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2055,capital,1826.848473,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2060,capital,1796.961382,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2065,capital,1770.810177,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2070,capital,1752.130744,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2075,capital,1733.451312,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2080,capital,1714.77188,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2085,capital,1703.564221,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2090,capital,1692.356561,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2095,capital,1681.148902,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2100,capital,1673.677129,0.13,0.550029121
