INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_global,1975,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,1990,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2005,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2010,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2015,capital,2316.249598,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2020,capital,1737.187199,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2025,capital,1302.890399,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2030,capital,977.1677992,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2035,capital,928.3094092,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2040,capital,881.8939388,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2045,capital,837.7992418,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2050,capital,795.9092797,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2055,capital,756.1138158,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2060,capital,718.308125,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2065,capital,682.3927187,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2070,capital,648.2730828,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2075,capital,615.8594286,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2080,capital,585.0664572,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2085,capital,555.8131344,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2090,capital,528.0224776,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2095,capital,501.6213538,0.13,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2100,capital,476.5402861,0.13,0.550029121
