INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_global,1975,capital,1919.225246,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,1990,capital,1919.225246,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2005,capital,1919.225246,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2010,capital,1919.225246,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2015,capital,1919.225246,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2020,capital,1439.418935,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2025,capital,1079.564201,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2030,capital,809.6731507,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2035,capital,769.1894931,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2040,capital,730.7300185,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2045,capital,694.1935176,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2050,capital,659.4838417,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2055,capital,626.5096496,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2060,capital,595.1841671,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2065,capital,565.4249588,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2070,capital,537.1537108,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2075,capital,510.2960253,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2080,capital,484.781224,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2085,capital,460.5421628,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2090,capital,437.5150547,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2095,capital,415.6393019,0.13,0.604352985
electricity,offshore wind,offshore_wind_storage_global,2100,capital,394.8573368,0.13,0.604352985
