INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_usa,1975,capital,2300.700985,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,1990,capital,2300.700985,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2005,capital,2300.700985,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2010,capital,2300.700985,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2015,capital,2300.700985,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2020,capital,2200.509168,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2025,capital,2118.871391,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2030,capital,2044.65523,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2035,capital,1985.282301,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2040,capital,1933.330989,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2045,capital,1885.090484,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2050,capital,1847.982404,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2055,capital,1814.585132,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2060,capital,1784.898667,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2065,capital,1758.923011,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2070,capital,1740.368971,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2075,capital,1721.814931,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2080,capital,1703.26089,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2085,capital,1692.128466,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2090,capital,1680.996042,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2095,capital,1669.863618,0.13,0.459157318
electricity,offshore wind,offshore_wind_storage_usa,2100,capital,1662.442002,0.13,0.459157318
