INPUT_TABLE,,,,,,,
Variable ID,,,,,,,
GlobalTechCapital,,,,,,,
,,,,,,,
sector.name,subsector.name,technology,year,input.capital,capital.overnight,fixed.charge.rate,capacity.factor
electricity,offshore wind,offshore_wind_storage_usa,1975,capital,1916.024061,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,1990,capital,1916.024061,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2005,capital,1916.024061,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2010,capital,1916.024061,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2015,capital,1916.024061,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2020,capital,1437.018046,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2025,capital,1077.763534,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2030,capital,808.3226507,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2035,capital,767.9065182,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2040,capital,729.5111923,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2045,capital,693.0356327,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2050,capital,658.383851,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2055,capital,625.4646585,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2060,capital,594.1914255,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2065,capital,564.4818543,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2070,capital,536.2577616,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2075,capital,509.4448735,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2080,capital,483.9726298,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2085,capital,459.7739983,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2090,capital,436.7852984,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2095,capital,414.9460335,0.13,0.528246943
electricity,offshore wind,offshore_wind_storage_usa,2100,capital,394.1987318,0.13,0.528246943
