INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechEff,,,,,
,,,,,
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore_wind_storage_global,1975,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,1990,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2005,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2010,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2015,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2020,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2025,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2030,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2035,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2040,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2045,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2050,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2055,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2060,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2065,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2070,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2075,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2080,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2085,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2090,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2095,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_global,2100,offshore wind resource,0.96
