INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechEff,,,,,
,,,,,
sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,1990,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2005,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2010,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2015,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2020,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2025,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2030,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2035,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2040,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2045,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2050,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2055,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2060,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2065,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2070,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2075,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2080,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2085,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2090,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2095,offshore wind resource,0.96
electricity,offshore wind,offshore_wind_storage_usa,2100,offshore wind resource,0.96
