INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechLifetime,,,,
,,,,
sector.name,subsector.name,technology,year,lifetime
electricity,offshore wind,offshore_wind_storage_global,2015,30
electricity,offshore wind,offshore_wind_storage_global,2020,30
electricity,offshore wind,offshore_wind_storage_global,2025,30
electricity,offshore wind,offshore_wind_storage_global,2030,30
electricity,offshore wind,offshore_wind_storage_global,2035,30
electricity,offshore wind,offshore_wind_storage_global,2040,30
electricity,offshore wind,offshore_wind_storage_global,2045,30
electricity,offshore wind,offshore_wind_storage_global,2050,30
electricity,offshore wind,offshore_wind_storage_global,2055,30
electricity,offshore wind,offshore_wind_storage_global,2060,30
electricity,offshore wind,offshore_wind_storage_global,2065,30
electricity,offshore wind,offshore_wind_storage_global,2070,30
electricity,offshore wind,offshore_wind_storage_global,2075,30
electricity,offshore wind,offshore_wind_storage_global,2080,30
electricity,offshore wind,offshore_wind_storage_global,2085,30
electricity,offshore wind,offshore_wind_storage_global,2090,30
electricity,offshore wind,offshore_wind_storage_global,2095,30
electricity,offshore wind,offshore_wind_storage_global,2100,30
