INPUT_TABLE,,,,,,
Variable ID,,,,,,
GlobalTechOMfixed,,,,,,
,,,,,,
sector.name,subsector.name,technology,year,input.OM.fixed,OM.fixed,capacity.factor
electricity,offshore wind,offshore_wind_storage_global,1975,OM-fixed,38.42332564,0.550029121
electricity,offshore wind,offshore_wind_storage_global,1990,OM-fixed,38.42332564,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2005,OM-fixed,38.42332564,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2010,OM-fixed,38.42332564,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2015,OM-fixed,38.42332564,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2020,OM-fixed,36.75005178,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2025,OM-fixed,35.38664345,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2030,OM-fixed,34.14718133,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2035,OM-fixed,33.15561164,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2040,OM-fixed,32.28798815,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2045,OM-fixed,31.48233778,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2050,OM-fixed,30.86260672,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2055,OM-fixed,30.30484877,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2060,OM-fixed,29.80906392,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2065,OM-fixed,29.37525218,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2070,OM-fixed,29.06538665,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2075,OM-fixed,28.75552112,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2080,OM-fixed,28.44565559,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2085,OM-fixed,28.25973627,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2090,OM-fixed,28.07381696,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2095,OM-fixed,27.88789764,0.550029121
electricity,offshore wind,offshore_wind_storage_global,2100,OM-fixed,27.76395143,0.550029121
