INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechOMvar,,,,,
,,,,,
sector.name,subsector.name,technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore_wind_storage_global,1975,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_global,1990,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_global,2005,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_global,2010,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2015,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2020,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2025,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2030,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2035,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2040,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2045,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2050,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2055,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2060,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2065,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2070,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2075,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2080,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2085,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2090,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2095,OM-var,0
electricity,offshore wind,offshore_wind_storage_global,2100,OM-var,0
