INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechShrwt,,,,
,,,,
sector.name,subsector.name,technology,year,share.weight
electricity,offshore wind,offshore_wind_storage_global,1975,0
electricity,offshore wind,offshore_wind_storage_global,1990,0
electricity,offshore wind,offshore_wind_storage_global,2005,0
electricity,offshore wind,offshore_wind_storage_global,2010,0
electricity,offshore wind,offshore_wind_storage_global,2015,1
electricity,offshore wind,offshore_wind_storage_global,2020,1
electricity,offshore wind,offshore_wind_storage_global,2025,1
electricity,offshore wind,offshore_wind_storage_global,2030,1
electricity,offshore wind,offshore_wind_storage_global,2035,1
electricity,offshore wind,offshore_wind_storage_global,2040,1
electricity,offshore wind,offshore_wind_storage_global,2045,1
electricity,offshore wind,offshore_wind_storage_global,2050,1
electricity,offshore wind,offshore_wind_storage_global,2055,1
electricity,offshore wind,offshore_wind_storage_global,2060,1
electricity,offshore wind,offshore_wind_storage_global,2065,1
electricity,offshore wind,offshore_wind_storage_global,2070,1
electricity,offshore wind,offshore_wind_storage_global,2075,1
electricity,offshore wind,offshore_wind_storage_global,2080,1
electricity,offshore wind,offshore_wind_storage_global,2085,1
electricity,offshore wind,offshore_wind_storage_global,2090,1
electricity,offshore wind,offshore_wind_storage_global,2095,1
electricity,offshore wind,offshore_wind_storage_global,2100,1
