INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechShrwt,,,,
,,,,
sector.name,subsector.name,technology,year,share.weight
electricity,offshore wind,offshore_wind_storage_usa,1975,0
electricity,offshore wind,offshore_wind_storage_usa,1990,0
electricity,offshore wind,offshore_wind_storage_usa,2005,0
electricity,offshore wind,offshore_wind_storage_usa,2010,0
electricity,offshore wind,offshore_wind_storage_usa,2015,1
electricity,offshore wind,offshore_wind_storage_usa,2020,1
electricity,offshore wind,offshore_wind_storage_usa,2025,1
electricity,offshore wind,offshore_wind_storage_usa,2030,1
electricity,offshore wind,offshore_wind_storage_usa,2035,1
electricity,offshore wind,offshore_wind_storage_usa,2040,1
electricity,offshore wind,offshore_wind_storage_usa,2045,1
electricity,offshore wind,offshore_wind_storage_usa,2050,1
electricity,offshore wind,offshore_wind_storage_usa,2055,1
electricity,offshore wind,offshore_wind_storage_usa,2060,1
electricity,offshore wind,offshore_wind_storage_usa,2065,1
electricity,offshore wind,offshore_wind_storage_usa,2070,1
electricity,offshore wind,offshore_wind_storage_usa,2075,1
electricity,offshore wind,offshore_wind_storage_usa,2080,1
electricity,offshore wind,offshore_wind_storage_usa,2085,1
electricity,offshore wind,offshore_wind_storage_usa,2090,1
electricity,offshore wind,offshore_wind_storage_usa,2095,1
electricity,offshore wind,offshore_wind_storage_usa,2100,1
