INPUT_TABLE,,,,
Variable ID,,,,
PrimaryRenewKeyword,,,,
,,,,
sector.name,subsector.name,technology,year,primary.renewable
electricity,offshore wind,offshore_wind_storage_usa,1975,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,1990,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2005,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2010,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2015,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2020,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2025,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2030,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2035,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2040,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2045,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2050,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2055,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2060,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2065,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2070,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2075,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2080,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2085,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2090,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2095,offshore-wind-elect
electricity,offshore wind,offshore_wind_storage_usa,2100,offshore-wind-elect
