INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
CA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
CT,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
DE,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
GA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
HI,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
IL,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
IN,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
LA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
ME,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
MD,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
MA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
MI,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
MN,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
NH,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
NJ,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
NY,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
NC,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
OH,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
OR,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
PA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
RI,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
SC,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
TX,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
VA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
WA,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
WI,electricity,offshore wind,offshore wind usa,1975,capital,0.459157318,OM-fixed,0.459157318
CA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
CT,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
DE,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
GA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
HI,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
IL,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
IN,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
LA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
ME,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
MD,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
MA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
MI,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
MN,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
NH,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
NJ,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
NY,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
NC,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
OH,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
OR,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
PA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
RI,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
SC,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
TX,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
VA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
WA,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
WI,electricity,offshore wind,offshore wind usa,1990,capital,0.459157318,OM-fixed,0.459157318
CA,electricity,offshore wind,offshore wind usa,2005,capital,0.459157318,OM-fixed,0.459157318
CT,electricity,offshore wind,offshore wind usa,2005,capital,0.459157318,OM-fixed,0.459157318
