INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,CA
CA,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,CA
CT,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,CT
CT,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,CT
DE,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,DE
DE,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,DE
GA,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,GA
GA,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,GA
HI,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,HI
HI,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,HI
IL,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,IL
IL,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,IL
IN,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,IN
IN,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,IN
LA,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,LA
LA,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,LA
MA,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,MA
MA,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,MA
MD,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,MD
MD,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,MD
ME,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,ME
ME,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,ME
MI,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,MI
MI,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,MI
MN,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,MN
MN,electricity,offshore wind,offshore_wind_storage_usa,1975,offshore wind resource,MN
NC,electricity,offshore wind,offshore wind usa,1975,offshore wind resource,NC
