INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechProd,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,share.weight
CA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
CT,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
DE,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
GA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
HI,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
IL,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
IN,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
LA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
ME,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
MD,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
MA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
MI,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
MN,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
NH,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
NJ,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
NY,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
NC,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
OH,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
OR,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
PA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
RI,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
SC,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
TX,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
VA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
WA,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
WI,electricity,offshore wind,offshore wind usa,1975,0,1975,0,0
CA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
CT,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
DE,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
GA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
HI,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
IL,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
IN,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
LA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
ME,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
MD,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
MA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
MI,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
MN,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
NH,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
NJ,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
NY,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
NC,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
OH,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
OR,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
PA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
RI,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
SC,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
TX,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
VA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
WA,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
WI,electricity,offshore wind,offshore wind usa,1990,0,1990,0,0
CA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
CT,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
DE,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
GA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
HI,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
IL,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
IN,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
LA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
ME,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
MD,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
MA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
MI,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
MN,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
NH,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
NJ,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
NY,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
NC,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
OH,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
OR,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
PA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
RI,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
SC,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
TX,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
VA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
WA,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
WI,electricity,offshore wind,offshore wind usa,2005,0,2005,0,0
CA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
CT,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
DE,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
GA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
HI,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
IL,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
IN,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
LA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
ME,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
MD,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
MA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
MI,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
MN,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
NH,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
NJ,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
NY,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
NC,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
OH,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
OR,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
PA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
RI,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
SC,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
TX,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
VA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
WA,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
WI,electricity,offshore wind,offshore wind usa,2010,0,2010,0,0
