INPUT_TABLE,,,
Variable ID,,,
StubTech,,,
,,,
region,supplysector,subsector,stub.technology
CA,electricity,offshore wind,offshore wind usa
CA,electricity,offshore wind,offshore_wind_storage_usa
CT,electricity,offshore wind,offshore wind usa
CT,electricity,offshore wind,offshore_wind_storage_usa
DE,electricity,offshore wind,offshore wind usa
DE,electricity,offshore wind,offshore_wind_storage_usa
GA,electricity,offshore wind,offshore wind usa
GA,electricity,offshore wind,offshore_wind_storage_usa
HI,electricity,offshore wind,offshore wind usa
HI,electricity,offshore wind,offshore_wind_storage_usa
IL,electricity,offshore wind,offshore wind usa
IL,electricity,offshore wind,offshore_wind_storage_usa
IN,electricity,offshore wind,offshore wind usa
IN,electricity,offshore wind,offshore_wind_storage_usa
LA,electricity,offshore wind,offshore wind usa
LA,electricity,offshore wind,offshore_wind_storage_usa
ME,electricity,offshore wind,offshore wind usa
ME,electricity,offshore wind,offshore_wind_storage_usa
MD,electricity,offshore wind,offshore wind usa
MD,electricity,offshore wind,offshore_wind_storage_usa
MA,electricity,offshore wind,offshore wind usa
MA,electricity,offshore wind,offshore_wind_storage_usa
MI,electricity,offshore wind,offshore wind usa
MI,electricity,offshore wind,offshore_wind_storage_usa
MN,electricity,offshore wind,offshore wind usa
MN,electricity,offshore wind,offshore_wind_storage_usa
NH,electricity,offshore wind,offshore wind usa
NH,electricity,offshore wind,offshore_wind_storage_usa
NJ,electricity,offshore wind,offshore wind usa
NJ,electricity,offshore wind,offshore_wind_storage_usa
NY,electricity,offshore wind,offshore wind usa
NY,electricity,offshore wind,offshore_wind_storage_usa
NC,electricity,offshore wind,offshore wind usa
NC,electricity,offshore wind,offshore_wind_storage_usa
OH,electricity,offshore wind,offshore wind usa
OH,electricity,offshore wind,offshore_wind_storage_usa
OR,electricity,offshore wind,offshore wind usa
OR,electricity,offshore wind,offshore_wind_storage_usa
PA,electricity,offshore wind,offshore wind usa
PA,electricity,offshore wind,offshore_wind_storage_usa
RI,electricity,offshore wind,offshore wind usa
RI,electricity,offshore wind,offshore_wind_storage_usa
SC,electricity,offshore wind,offshore wind usa
SC,electricity,offshore wind,offshore_wind_storage_usa
TX,electricity,offshore wind,offshore wind usa
TX,electricity,offshore wind,offshore_wind_storage_usa
VA,electricity,offshore wind,offshore wind usa
VA,electricity,offshore wind,offshore_wind_storage_usa
WA,electricity,offshore wind,offshore wind usa
WA,electricity,offshore wind,offshore_wind_storage_usa
WI,electricity,offshore wind,offshore wind usa
WI,electricity,offshore wind,offshore_wind_storage_usa
