INPUT_TABLE,,,
Variable ID,,,
SubsectorLogit_relative-cost-logit,,,
,,,
region,supplysector,subsector,logit.type
CA,electricity,offshore wind,relative-cost-logit
CT,electricity,offshore wind,relative-cost-logit
DE,electricity,offshore wind,relative-cost-logit
GA,electricity,offshore wind,relative-cost-logit
HI,electricity,offshore wind,relative-cost-logit
IL,electricity,offshore wind,relative-cost-logit
IN,electricity,offshore wind,relative-cost-logit
LA,electricity,offshore wind,relative-cost-logit
ME,electricity,offshore wind,relative-cost-logit
MD,electricity,offshore wind,relative-cost-logit
MA,electricity,offshore wind,relative-cost-logit
MI,electricity,offshore wind,relative-cost-logit
MN,electricity,offshore wind,relative-cost-logit
NH,electricity,offshore wind,relative-cost-logit
NJ,electricity,offshore wind,relative-cost-logit
NY,electricity,offshore wind,relative-cost-logit
NC,electricity,offshore wind,relative-cost-logit
OH,electricity,offshore wind,relative-cost-logit
OR,electricity,offshore wind,relative-cost-logit
PA,electricity,offshore wind,relative-cost-logit
RI,electricity,offshore wind,relative-cost-logit
SC,electricity,offshore wind,relative-cost-logit
TX,electricity,offshore wind,relative-cost-logit
VA,electricity,offshore wind,relative-cost-logit
WA,electricity,offshore wind,relative-cost-logit
WI,electricity,offshore wind,relative-cost-logit
