INPUT_TABLE,,,,
Variable ID,,,,
SubsectorShrwtFllt,,,,
,,,,
region,supplysector,subsector,year.fillout,share.weight
CA,electricity,offshore wind,2100,1
CT,electricity,offshore wind,2100,1
DE,electricity,offshore wind,2100,1
GA,electricity,offshore wind,2100,1
HI,electricity,offshore wind,2100,1
IL,electricity,offshore wind,2100,1
IN,electricity,offshore wind,2100,1
LA,electricity,offshore wind,2100,1
ME,electricity,offshore wind,2100,1
MD,electricity,offshore wind,2100,1
MA,electricity,offshore wind,2100,1
MI,electricity,offshore wind,2100,1
MN,electricity,offshore wind,2100,1
NH,electricity,offshore wind,2100,1
NJ,electricity,offshore wind,2100,1
NY,electricity,offshore wind,2100,1
NC,electricity,offshore wind,2100,1
OH,electricity,offshore wind,2100,1
OR,electricity,offshore wind,2100,1
PA,electricity,offshore wind,2100,1
RI,electricity,offshore wind,2100,1
SC,electricity,offshore wind,2100,1
TX,electricity,offshore wind,2100,1
VA,electricity,offshore wind,2100,1
WA,electricity,offshore wind,2100,1
WI,electricity,offshore wind,2100,1
