INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
CA,electricity,offshore wind,offshore wind usa,1975,California grid
CA,electricity,offshore wind,offshore wind usa,1990,California grid
CA,electricity,offshore wind,offshore wind usa,2005,California grid
CA,electricity,offshore wind,offshore wind usa,2010,California grid
CA,electricity,offshore wind,offshore wind usa,2015,California grid
CA,electricity,offshore wind,offshore wind usa,2020,California grid
CA,electricity,offshore wind,offshore wind usa,2025,California grid
CA,electricity,offshore wind,offshore wind usa,2030,California grid
CA,electricity,offshore wind,offshore wind usa,2035,California grid
CA,electricity,offshore wind,offshore wind usa,2040,California grid
CA,electricity,offshore wind,offshore wind usa,2045,California grid
CA,electricity,offshore wind,offshore wind usa,2050,California grid
CA,electricity,offshore wind,offshore wind usa,2055,California grid
CA,electricity,offshore wind,offshore wind usa,2060,California grid
CA,electricity,offshore wind,offshore wind usa,2065,California grid
CA,electricity,offshore wind,offshore wind usa,2070,California grid
CA,electricity,offshore wind,offshore wind usa,2075,California grid
CA,electricity,offshore wind,offshore wind usa,2080,California grid
CA,electricity,offshore wind,offshore wind usa,2085,California grid
CA,electricity,offshore wind,offshore wind usa,2090,California grid
CA,electricity,offshore wind,offshore wind usa,2095,California grid
CA,electricity,offshore wind,offshore wind usa,2100,California grid
CT,electricity,offshore wind,offshore wind usa,1975,New England grid
CT,electricity,offshore wind,offshore wind usa,1990,New England grid
CT,electricity,offshore wind,offshore wind usa,2005,New England grid
CT,electricity,offshore wind,offshore wind usa,2010,New England grid
CT,electricity,offshore wind,offshore wind usa,2015,New England grid
CT,electricity,offshore wind,offshore wind usa,2020,New England grid
CT,electricity,offshore wind,offshore wind usa,2025,New England grid
CT,electricity,offshore wind,offshore wind usa,2030,New England grid
CT,electricity,offshore wind,offshore wind usa,2035,New England grid
CT,electricity,offshore wind,offshore wind usa,2040,New England grid
CT,electricity,offshore wind,offshore wind usa,2045,New England grid
CT,electricity,offshore wind,offshore wind usa,2050,New England grid
CT,electricity,offshore wind,offshore wind usa,2055,New England grid
CT,electricity,offshore wind,offshore wind usa,2060,New England grid
CT,electricity,offshore wind,offshore wind usa,2065,New England grid
CT,electricity,offshore wind,offshore wind usa,2070,New England grid
CT,electricity,offshore wind,offshore wind usa,2075,New England grid
CT,electricity,offshore wind,offshore wind usa,2080,New England grid
CT,electricity,offshore wind,offshore wind usa,2085,New England grid
CT,electricity,offshore wind,offshore wind usa,2090,New England grid
CT,electricity,offshore wind,offshore wind usa,2095,New England grid
CT,electricity,offshore wind,offshore wind usa,2100,New England grid
DE,electricity,offshore wind,offshore wind usa,1975,Mid-Atlantic grid
DE,electricity,offshore wind,offshore wind usa,1990,Mid-Atlantic grid
DE,electricity,offshore wind,offshore wind usa,2005,Mid-Atlantic grid
DE,electricity,offshore wind,offshore wind usa,2010,Mid-Atlantic grid
